Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,DJI_Volatility,SP500_Sharpe,SP500_Sortino,SP500_Return,SP500_Volatility,Random_Sharpe,Random_Sortino,Random_Return,Random_Volatility
2013-01-02,2018-01-02,2018-01-03,2019-01-03,-0.032720935362254726,-0.04031432651109878,-0.08973589567484185,0.011447828413799065,-0.0371188337641987,-0.04640681985955971,-0.09161616682660897,0.010313410682612444,-0.03135633060673433,-0.03967684054385988,-0.08158766347309923,0.010883102573858433
2013-01-03,2018-01-03,2018-01-04,2019-01-04,-0.023207720426382663,-0.029039039101290506,-0.0654820392497017,0.011626236948516389,-0.025641190633149246,-0.03261908382839106,-0.06530955874958133,0.01049417730251569,-0.018591937231106727,-0.024270827998039608,-0.05137800109016259,0.011197349379338993
2013-01-04,2018-01-04,2018-01-05,2019-01-07,-0.02480097848656128,-0.03100419846827609,-0.06975524428279846,0.011615585477498424,-0.02504628195355688,-0.031877357145694,-0.06387296561323395,0.010499143438555633,-0.01654098530385927,-0.021509903407166676,-0.04484933361861494,0.010998416470481727
2013-01-07,2018-01-08,2018-01-09,2019-01-09,-0.020948637178679206,-0.026218184103114064,-0.05935135368027618,0.011636427629359436,-0.021599835967925446,-0.027546629636125954,-0.05544092250731094,0.010520414302741367,-0.01685073861796017,-0.02206968238301961,-0.04616739858691931,0.011279893390585511
2013-01-08,2018-01-08,2018-01-09,2019-01-09,-0.020948637178679206,-0.026218184103114064,-0.05935135368027618,0.011636427629359436,-0.021599835967925446,-0.027546629636125954,-0.05544092250731094,0.010520414302741367,-0.015248707951748984,-0.019758182212795402,-0.041627861809845346,0.01115513198151346
2013-01-09,2018-01-09,2018-01-10,2019-01-10,-0.01895953305193116,-0.023721476673042433,-0.053892699165716824,0.01164133654080547,-0.016336644194362218,-0.020767710085572405,-0.04225019293399779,0.010527672512146397,-0.012149034383834391,-0.015912069848420984,-0.034267685451614016,0.011327195917675979
2013-01-10,2018-01-10,2018-01-11,2019-01-11,-0.02182932780263091,-0.027294466538254295,-0.06173207776047249,0.011629469573355943,-0.01893122984912415,-0.02403892430050232,-0.04874050660149521,0.01051581182677723,-0.01176170037408643,-0.015403108992196539,-0.03249105777681883,0.011299562297826742
2013-01-11,2018-01-11,2018-01-12,2019-01-14,-0.026135886935624818,-0.03273526206655016,-0.07337657279982875,0.011616886147857748,-0.023521656554635534,-0.02997656725959882,-0.06018227143837981,0.010513211941782645,-0.01816551224467998,-0.02344715840284722,-0.04924121067203306,0.011108357340702065
2013-01-14,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,0.01158871598183967,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,0.01049666286610572,-0.010855279360956054,-0.014464602780120872,-0.03007944854889972,0.011211828588521808
2013-01-15,2018-01-16,2018-01-17,2019-01-17,-0.023688139841684337,-0.029581948208738194,-0.06683926132954429,0.01158871598183967,-0.019054747067566793,-0.02417301704319597,-0.04915368826380735,0.01049666286610572,-0.014295001021412443,-0.018977885253341747,-0.04128316079796554,0.011348124973927218
