name,method,metric,stocks,clusters,mean_returns,volatility,sharpe,sortino,actual_return
Agg_Comp_30_scaled,Agg. Complete (Returns),Returns,30,30,0.4124,0.1822,2.263,3.864,0.503
Agg_Ward_30_scaled,Agg. Ward (Returns),Returns,30,30,0.3449,0.1628,2.119,3.084,0.4061
Kmedoids_30_scaled,K-Medoids (Returns),Returns,30,30,0.3501,0.1732,2.021,3.031,0.4132
Kmeans_30_unscaled,K-Means (Returns),Returns,30,30,0.3322,0.1768,1.879,2.781,0.3886
Kmeans_30_corrdist,K-Means (Corr),Correlation,30,30,0.2381,0.1274,1.87,2.68,0.2653
Agg_Avg_30_scaled,Agg. Avg (Returns),Returns,30,30,0.3112,0.1689,1.842,2.939,0.36
Agg_Comp_30_corrdist,Agg. Complete (Corr),Correlation,30,30,0.2109,0.1235,1.707,2.558,0.2317
Kmedoids_30_corrdist,K-Medoids (Corr),Correlation,30,30,0.2212,0.1316,1.681,2.534,0.2443
Agg_Single_30_scaled,Agg. Single (Returns),Returns,30,30,0.3027,0.1816,1.667,2.577,0.3486
Agg_Avg_30_corrdist,Agg. Avg (Corr),Correlation,30,30,0.2122,0.1452,1.461,2.148,0.2333
Random,Random,,30,,0.1957,0.1479,1.323,2.106,0.2185
Agg_Single_30_corrdist,Agg. Single (Corr),Correlation,30,30,0.2083,0.166,1.255,2.028,0.2286
DJI,DJI,,30,,0.1303,0.1142,1.141,1.847,0.1374
